"Mustard Flowers","By 557 // Part of the Skeleton Crew's 31 Days of Airdrops Collection.",10,"https://www.arweave.net/wDJV7qlQh8Qgtxvnzt3rQ367w3FJxBPhWt2ep93a0jA?ext=jpeg","557",1,"G5U3vynSL8n8hzSGxkfo2VtjPwDejEX8mGRM63NereWv",607
"Bannerisms Prototype","MetaMorph represents the artistic fusion between man and machine utilizing cutting edge generative adversarial network image training methods to create this unique 3:1 sized NFT having optimal utility when deployed as Twitter profile header banner. Rendered by @MetaMorphAI on 10/15/21.",0,"https://www.arweave.net/5pKQXLZbeBJuxeRpx8bYqMHcQAeHxzixfEp8Qj1HXsw?ext=png","MetaMorph",0.1,"3jFYAxXPZ55d1VZsPXQTX5h43JSqj4GRU5RFEXeiJMsv",65
"Soulless X SkeletonCrew","Notes from the artist: ""My name is Sav, I'm a digital character designer and illustrator, currently working on Soulless NFT Project. This piece was inspired by a combination of street art and blockchain art trends. Because both of our projects are ""spooky"" themed, I also incorporated what I can only describe as a slight 'Ghostbusters essence.'""",100,"https://www.arweave.net/HLCL6eg1vkakHw3_KpHc_O4HaT4cuHKJfAKtwKNLaio?ext=jpg","Soulless",0.5,"En2TRkaqDTZwZATA3fAh1nm2DkCNGHQdF4GWaG8UpscC",579
"Deaths Little Helpers","",100,"https://cdn.magiceden.io/rs:fill:640:640:0:0/plain/https://www.arweave.net/YO8GfvM7J2CvuhGjBMJpPyVwMlN5XL3TK-TPFZUlOWE?ext=png","Furious Flowers",,,
"SKULL Airdrops Trick 1/30","Boo!",10,"https://www.arweave.net/0PPIeTZwCn3WMx8odPCpk_3j7ca6fe6sQ0JWtiZNyts?ext=png","Ayyo",,,
"My 492st Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/CY3BBamuVf9sx5kH7AvW6BPf4h8H-n79xeUU5w3BZQY?ext=png","ParamsNFT",,,
"Busy Skies","39 unique long exposure photographs capture the busy skies above the Sierra Nevada mountains. Look closely to see lightning strikes, airplanes and even meteors.",175,"https://www.arweave.net/PyNrmlzKedmrlBJnTQ1ch8GpJfDgC-Vp8m2zHpMw0bI?ext=jpg","Tom Hellauer",0.03,"BsUUpCPnZas9v5zmumti1sY86JNWbYkt6mEQwGVaJ52K",25
"PARAGON ART X SKELETON CREW","By: Paragon Art // Notes from the artist: ""Paragon Art is an abstract and generative art series from a solo artist. Paragon to promote fine and abstract art in the community! This piece was inspired by Halloween."" // Part of the Skeleton Crew's 31 Days of Airdrops Collection.",100,"https://www.arweave.net/6EoZl7fiqGJHywfqoS8lOnWwzVBr1HyklMryd9kq_gs?ext=png","Paragon Art",0.28,"69StesWRP49BwEac2U1pLc5g13cyVTL7HgqcU3qiZ8SC",236
"Meta Lights Header","Gmoot! This is a custom designed LIGHTS twitter header for the tribes. Because the world could use a little more light Sun with rays. A percentage of the resales benefit the House of Gems orphanage in the Valley of Juárez.",53,"https://www.arweave.net/8cND_JbxKzGVVV2GFC2j9ueE1YnWhzCOOaSceE-cTeo?ext=jpg","LIGHTS",,,
"Abstract #03","""Originally Intended as the 3rd 1:1 auction piece in my 'Abstract' Series, I am proud to share it with 10 Members of the @skeletoncrewrip community"" - H37",10,"https://www.arweave.net/Xw1peQfrXMMBF7WsIQutWFtIgLjxZ0dcazuk__A3lNE?ext=jpg","H37",,,
"SolariumNFT x Skeleton Crew #3","SolariumNFT procedurally generated sci-fi flowers use distortion & noise to create beautiful & futuristic 3D art. These 3 pieces use the classic SolariumNFT shape and creation process, while the details were inspired by the attributes of the Skeleton Crew Skulls. (SolariumNFT x Skeleton Crew #2 is a direct reflection of the artist's personal Skull holding; #2085).",300,"https://www.arweave.net/k0TiV8JpAfFDDthT3Q_OH-LZKCpdjZJgWfMM_4_PkLw?ext=gif","SolariumNFT",0.07,"Ch4KsDABnD3EvEoCxpAGHb5jy12DG5j3vYYtB4AQVr6j",696
"Wavy Glitch SKULL","We're all glitched out here— a mesmerizing and waaaaavy SKULL, hovering in the dark just out of reach. The glow makes my eyes twitch.",88,"https://www.arweave.net/yLeQJs86RaA837PKdp_MMpGGzS_4ReWvKOORcTw5IzA?ext=png","Ayyo",0.21,"9p2GtnEjZWCosZY7Lwx6xzPnLFHjZNsgA1emipRHy3nC",150
"My 457th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native",10,"https://www.arweave.net/WQfUkdtWj_DFc7Hyn5ucu_P6lGtO7MKZgQWvhr8UqxQ?ext=png","ParamsNFT",,,
"Lobster Shack x SKULLS Orange","Lobster Shack x SKULLS Orange is a part of a series of five portraits of the Lobster Shack inspired by the spirit of Halloween and Skeleton Crew. Each one of the five pieces features unique animation and lighting conditions. Created by Nephrops, the Crypto Langoustine, an independent 3D artist on Solana. Twitter: @nephr0ps.",66,"https://www.arweave.net/JqbWTys_Gx5hcFwRLmuuJoUyKvmrMZ4QgDFQ_vZvlTk?ext=gif","Nephrops",0.1,"2bweADnpSYpQeDVPYUeZ8ULeqA91mdchuoyDFzzgRcrf",204
"My 483rd Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/7T7ZwNYOGwHppyb5lf1HPvkOjw447faFQ8rNU-fltvg?ext=png","ParamsNFT",,,
"My 462nd Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/jvKWspn9vdjvI1Gq1Utc2u9k36OrLWJvfHzlohfILlg?ext=png","ParamsNFT",,,
"Vortex Lights Header","Gmoot! This is a custom designed LIGHTS twitter header for the tribes. Because the world could use a little more light Sun with rays. A percentage of the resales benefit the House of Gems orphanage in the Valley of Juárez.",35,"https://www.arweave.net/fPApR-5mZo-L4Mxh-2QZK7Wai63sf5wyJ4g3HNFE4TU?ext=jpg","LIGHTS",,,
"Degen Lights","Gmoot! This is a custom designed LIGHTS twitter header for the tribes. Because the world could use a little more light Sun with rays. A percentage of the resales benefit the House of Gems orphanage in the Valley of Juárez.",10,"https://www.arweave.net/v-QupHfoYGtgWhOC-yYsLHNlz-5C3JHlekCxasqkwoc?ext=jpg","LIGHTS",,,
"Degen Lights Header","Gmoot! This is a custom designed LIGHTS twitter header for the tribes. Because the world could use a little more light Sun with rays. A percentage of the resales benefit the House of Gems orphanage in the Valley of Juárez.",53,"https://www.arweave.net/sMgAt6qTg4ZBM9EeXHNEtW37JdZ87d5wGr4tAQieJ2w?ext=jpg","LIGHTS",,,
"Neo-Impressionist SKULL","Fine art meets ferocious SKULL in this pointillism inspired exclusive drop. Somehow both bumpy and yet also smooooooth.",95,"https://www.arweave.net/CIhNCpesrZw9i6urryyxKZF7v8HC0E2dIHdY0iXvI2Q?ext=png","Ayyo",0.44,"EdVooYSvADSqSWmXachQPUCGHSoBjs8ziqxGWMiNeqck",646
"My 490th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/xXNvuebEnaKBll6ZcCEi_ys8EvEJOBoz45CeJ-oIyUI?ext=png","ParamsNFT",,,
"// untitled 016-3 //","Part of the Skeleton Crew's 31 Days of Airdrops Collection.",0,"https://www.arweave.net/orG2FSj6JNqo_NMU6LaRzyV_uAsUN7GGNFqfkwGdaD0?ext=jpg","// glitchstroke //",,,
"// sklitches 001-2 //","Part of the Skeleton Crew's 31 Days of Airdrops Collection.",111,"https://www.arweave.net/z7o7CvkYTgRBX6AJcHPpUGfI7kSJJAYjWLzPm-c35Nw?ext=jpg","// glitchstroke //",0.5,"4bCNnaek6zhukG4zQ1ta2gmjRDgh2ZhEoUcMFptS6DHy",539
"Sol Prop","By @holagi64",20,"https://www.arweave.net/A4-nGdsBU3Gh9y_WWlRp2RQbeOaldtsH-W__EwlUs94?ext=png","holagi64",0.25,"DyUpX2bfj888XpX4GK8RVxSfQnsoCTh3HSrY7J7ABxLn",373
"Burning Skelly","A forever burning skelly will never die, he lives forever on the blockchain.",5,"https://www.arweave.net/m-TQj58DEbtNi0LMZZpEXPZxFIKIswvcU0fttnytNxs?ext=png","Kratt",,,
"Nashotobi x Skeleton Crew 3/6","One of six skulls created by @Nashotobi for the Skeleton Crew's Halloween 2021 Event",100,"https://www.arweave.net/k8GmBSng2bQPVGFQucXxltARcxjZ7ad9ypxWpps7l2Q?ext=jpg","Nashotobi",0.4,"3gaAFvGVVKxEkBK57qk74QzDTmMwfkumEihVQLrf6enc",585
"My 464th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/UUjCfdWcOTvprsC_6-0OGttQGmH2f7FkgsWR8zoSw7A?ext=png","ParamsNFT",,,
"Emerge","By @johnlestudio",100,"https://www.arweave.net/rGV48OPPPlZWz1I4dB-oI_TYD5aAnf-WTB6xsVoJsPw?ext=png","johnlestudio",7.8,"G2qkGn5986inmdy4Amp5uNZuZ3yRoJM6nxT5C4u7fssV",4
"Deadmouse","By @dnava2",20,"https://www.arweave.net/GcYIsjzvtuQVR9dTxIl9l_ZtQiGDjaQIPj_szbGiJXo?ext=jpg","dnava2",,,
"My 476th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/0NohGG9UZzkxfAA33lsQMTxkFSDFUnLZUrwS7_mc-yU?ext=png","ParamsNFT",0.29,"5B8f71SWMkpt2QXhZAhgbmK5PRsWszcHYaAzy48oM5eb",605
"My 475th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/hypAyv4izL5arYLut0meyvALyIul_Hrynk-TnetCMgc?ext=png","ParamsNFT",0.5,"DdVeevjbkUNCArdmqLGkiXeg9mZNXw454dW2Hau5gk6N",608
"Abyssal Sacrament","Rumors say it takes an Abyssal Sacrament to achieve this sinister summoning, but word has it – the Daemons can be awakened!",300,"https://www.arweave.net/yos8iHYWdPyoYODkOh0ad92YW2jOzKEUKaiTwiqOv1w?ext=png","Grim Syndicate",0.04999,"7i5b4kYiZDmMWy4GVHUWRQpcsKtAKT3pqj7ukBSEAuNG",23
"Polyline Skin","By @polylinenft",20,"https://www.arweave.net/aQVTH4iWrcphkvbim0u1Gk1_ZxhDTM7Zx-fTbktvPNA?ext=gif","polylinenft",,,
"My 479th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/f_wyegT6gVkAlGeJwGN0uU4XpwSc2mJWdIInzNEIfF8?ext=png","ParamsNFT",,,
"Have a Happy Halloween","Have a Happy Halloween from James Johnson Studios!",400,"https://www.arweave.net/jUT8Ii4hFa-jXmu6So7I4LURZm0O6V-bgdrlP1BypcU?ext=png","James Johnson",0.069,"mfjd3UoGVMe42YaJ7QLMLV4izSNqdgtETXzGmzAPtyb",431
"Pray To Skullana","By @UltraMmkay",100,"https://www.arweave.net/ssJVG3r9gHCxgUFn49RjCh3S-XY5qSK8pBlvLZzsHOQ?ext=jpg","UltraMmkay",0.1,"BhpAZDUjTJvRMsfRkRUN3ycnAtjHYHD5LXt4pXjVV28E",382
"Skullana's Redemption","A collaboration with artist Andy Permana Putra to show the good side of Solana.",100,"https://www.arweave.net/UNiaqXxhnCMD988PUiMLsXHhoqwGyl5bboQHowNvYmk?ext=jpg","Andy Permana Putra",0.3,"2vxXr5CaDtS9YceKmdqs83kTR9wfYbaat2wqbyR1ETWW",171
"RustBots x Skeleton Crew","An honorary piece from RustBots inspired by Skeleton Crew. RustBots are forming an advanced society on the Solana Blockchain. You can find us at rustbots.io",250,"https://www.arweave.net/H0Ye0_sCHZhRz7gGHL7qeAgrFm_OW-H_OCM6xXs_XzY?ext=jpg","RustBots",0.069,"3UTnoj6hVJqdaHxoo3K2mV2qGfLj7K7jqnWEng6MdiuX",21
"Connected","By @marinaeyess",20,"https://www.arweave.net/M3DeeV05dZMqw3gKGjh0e9Rmt4PGwo-usttArvTI_mM?ext=jpg","marinaeyess",3,"CzTpNrZxehWz76SZkCuuAdsiPQX8iLFFqtd6EwmVZDEf",159
"Fukinsei","Digital triptych illustrating a shuffled dreamscape, natural scenes and aggrandizing colors to bring the surreal into realization",300,"https://www.arweave.net/kqWeMIjrBaGJCQoO_Jx7Zg5N1tVyHWU7akd9AzkTR0Y?ext=png","BnP",0.1,"5Xdqi5aaC3W4CbZRNmWTMrddbbiK9mCuCJP3LvwMnbx4",6
"SolSpookie","By @sajidxrizvi",20,"https://www.arweave.net/9t9lnxs0yKppplHFu2P5aC7Z2AIMgNw4P6l9rjWqIKQ?ext=png","sajidxrizvi",5,"3vcrbyy9vHRNJDNBARYbG5hMNBodaGKmZTDW3v38rfzK",283
"Sunset over the Sea","By 557 // Part of the Skeleton Crew's 31 Days of Airdrops Collection.",100,"https://www.arweave.net/fiC5OweYdFPkMOX_xNVrPcVL8q4SjC8HETIDbak4mTY?ext=jpeg","557",0.4,"J75Aw3uG38pCGwCDos9d3f13Y5BkJ8C5x2Dsf2yvtR4X",280
"Freezing Point","'gettin cold out there bud' -h37",37,"https://www.arweave.net/QnktCt-NQwnS2uLyNjOrDd64x9ATviWCaMlNvHeh0VU?ext=jpg","H37",0.25,"5YnnjypqbdXJkGxa9CJvjXVxY6wkpqRybaLvFwdFKk64",877
"Electric Light Skull","A collaborative fine art piece from Pink Skull and LIGHTS. This rare work combines the unique art styles of both artists and will make a hauntingly beautiful addition to any fine art collection.",500,"https://www.arweave.net/igut_e-4FYXSIEuKss3Is8_19IlvffkKDh3mTEHOkdY?ext=jpeg","Pink Skull x LIGHTS",0.275,"8dYVU9ksG2d5phDnGCK2TxAfjQ6gLqc89UrbxDkWqi2Q",31
"Freak Skeleton","The young urban mage is holding a bright red skull, reminding observers of our freakish inside, lurking beneath our “normal” surface that tries too hard to adapt.",50,"https://www.arweave.net/z2nLuamkGTV8swRZ0lUgW8LQ2nIfr1WaJbziJW8T05A?ext=png","Mars Dorian",0.75,"2yp14QqrwSSZZT5vVdhd9efyE4NnQkawakeXqRHnuCX9",75
"SkullGoon","After his escape from the lab in which he was created, a Gooney Toon we now know by SkullGoon trekked through the icy cold tundra for weeks on end until he stumbled upon an old forgotten viking village. There he was trained by wild men on the art of war. Using his strange abilities, SkullGoon transformed his body into an abomination, becoming a formidable warrior, worshipped by his tribe.",444,"https://www.arweave.net/sOKONjsA0xNYJaX7pRKb8UPP7S2z-HRhbSba7Qofep4?ext=png","Gooney Toons Studio",0.15,"FQAHheiro4g5GtADYQZa9RuxHRGLe4usUWtNWnYhMW58",24
"Silver Mortem","@xkonwi",50,"https://www.arweave.net/_rzE3J6t3AOLUPiCl5p9w0YG6d3qd0BZnkz34UeLHN4?ext=png","konwi",0.25,"6shB1d8CZTDjeM6yUKvUVVR3v657SZNafz598wm6pEMz",170
"Gold Mortem","@xkonwi",10,"https://www.arweave.net/VcdjEKeigp1dcyZpTrzDrLc3bDHOB4M5yXDaY_UPyA8?ext=png","konwi",22.5,"7KLBHXaE9qxRcgzgj1okrBis7qsVffyRkAZ1JVhYmDDc",983
"Pretty Grim","By @sekritsqrl",20,"https://www.arweave.net/HXQAvGIeQVDuJoMZ_wHHaUoySaVsClud8cg8PBRF7Yo?ext=png","sekritsqrl",88,"5kT4WkwybHUXDjaCD5huHhAbYvZrCXWuBxvMKWuAvG6w",122
"Over the Moon","By @mootaska_art",20,"https://www.arweave.net/sQu88055o5Mi7P-sw1wvO3HFG6q1kqtd2YQAAWLyPR0?ext=png","mootaska_art",0.07,"6TmQ6NxuUriGJDEwXpfAa73cmSBApeHEzBUBW5SKD2kS",70
"Prophecy Maximus Sam's Ass","By @logohire",20,"https://www.arweave.net/mEYRTIsZMODF5h-yDaLci7d3sDn6rgacJccyIJx5j9o?ext=jpg","logohire",6.9,"DDDHKxp3zZxfCzM8j94n5fQVSJeUnjep19pLHUe9Kd5V",334
"Nashotobi x Skeleton Crew 2/6","One of six skulls created by @Nashotobi for the Skeleton Crew's Halloween 2021 Event",150,"https://www.arweave.net/kXj5dvzj6tZI0VVWRqk_udSFkvtBa6K4gJJzPCWlHIw?ext=jpg","Nashotobi",0.19,"8Kjrpv8TVwNZeiaGR4axkzMwrbXi46NcDHMa6JjDgeYu",534
"Megumi-Sk#1","Megumi - Where we all come from.",10,"https://www.arweave.net/l4uuPR1vPcWDYOcMkN04btqsn2SOT4lKRYzHpaap9f4?ext=PNG","Megumi",5,"Amqwkq8KDbHXmgeKLQe27vae6947hAQaEkURceGC5BWr",994
"Halloween Pixel Skull 2/3","Special Pixel Skullz created by samuel-forrest for the Skeleton Crew's Halloween 2021 Event",2,"https://www.arweave.net/tihTCdKLt1HcYVv284k_aTAi7HxF691EOCxMxdHgHsc?ext=gif","samuel-forrest",20,"4pezBSMGCcqrQeBPwMoyr8najWDsbVvxdmLuPNYEQPNt",113
"Daisy","By @MgSkullz",20,"https://www.arweave.net/54vCRQVLxcomXMHWi6ZMzbEMgDM6H0EjLJHcf56BrBM?ext=jpg","MgSkullz",1,"AhHphnrXAtC2MprMRedBBQY6AreJNfQP2T74MkXou2Yq",601
"SKULLS Airdrop 10/2","TRICK!  You stare deep into the Magic 8-Ball. Will I be lucky enough to land a treat tomorrow? Reply hazy, try again.",666,"https://www.arweave.net/rVgb7z4pi5U8Wo2LcVqtNvVAd4eAJ3tN7GiqA9xjEb4?ext=gif","Ayyo",,,
"Reflections","Sky and water blend together in this short collection of images featuring one of Sierra Nevada's pristine alpine lakes.",175,"https://www.arweave.net/8uvUlTxId9F5B7eJLEMik3S6LjzI3OKqajUAEyEKAy8?ext=jpg","Tom Hellauer",0.035,"E23ietuYmtjJz5UGU62qBuKvwXcsWhTKi3Ruh9BK7Hg7",18
"Nature Finds Its Way","Even dead things in nature can be beautiful.",25,"https://www.arweave.net/Jq5mCv6iqOegVtNgrbTh4-XmOQQc3VgMz2rnauT6rsg?ext=png","Kratt",3.5,"DdaXDfJDbkZwPjHQfDMCcWQTvUqhWy29T6wKSA9gAfaz",249
"My 474th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/GTWtp8GipcYeCJZpWaNTcLDuEc5-3UBvV26XFhSxLkQ?ext=png","ParamsNFT",0.2,"FmGYtseaknTr4qdgJL6iiAvXbGwgN2LY8XmAuGy9m8jy",142
"Sol Prop (SKULL)","By @holagi64",20,"https://www.arweave.net/Lhq-YeZ5GQZtrar_WmyHcDKJ5Kh54wmQiFL2d77qMbw?ext=png","holagi64",10,"7ooWYyHXSH5kjh4kURnTPx2UT9zTHByYTZbzQFAAKrX9",299
"My 473rd Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/o_S1n-gAz2lubldiLBynsJrYD9ye3oWikk-OqBqeK4A?ext=png","ParamsNFT",,,
"SKULLS Airdrop 10/4","TRICK!  wen marketplace. wen airdrop. wen rarity. wen merch. wen dao. wen moon. wen wen wen wen wen wen wen.",69,"https://www.arweave.net/7-ZTVbXx6q1cS7kFP4e1s9U9seApj2hglrOoorVFaRc?ext=png","Ayyo",0.79,"Gsar55xYFeRgcPt1j9nDSxU68GugHPTSCAaCBdFscE16",310
"Neo-Impressionist Banner","Somehow both bumpy and yet also smooooooth. An exclusive Twitter banner that matches today's Neo-Impressionist treat.",450,"https://www.arweave.net/6Wu8G_mc_HO6laqKZSYL7lnU36gljInG7nKy6uGCML4?ext=png","Ayyo",0.03,"AuzHgJmEt9TiUfEoj8VTk4pofw4ioMmLj6BHVLErdNyD",549
"My 463rd Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/e_X2yJp_bNNDcSVDEeCOViZHcYT-PJYZlq20fWzMDzQ?ext=png","ParamsNFT",,,
"Danuki Dojo x Skeleton Crew","Enter the dojo— the Danuki Dojo. Just a little piece to celebrate their upcoming mint!   (A portion of any royalties for this piece will be donated to charity.)",100,"https://www.arweave.net/A5o7YBof0FBXndqmywGwft5A8biUgx2AvAUDoJ5Aczs?ext=png","Danuki Dojo",0.09,"AFQh9DNwPbp3Ezksh552syQWgCd8EXG3smZ3j11FUEFi",207
"Exposed","Fear not, our darkest secrets are often universal. -Dr. Thoughtcrime",100,"https://www.arweave.net/3gYJqg4HMp7d6z3im9qaXdEpzO7s89s8OUXyYgLlcuc?ext=png","Dr. Thoughtcrime",2.5,"33hU2CimWoGi29uMoGr4QL8562jiGgGG9mMFmuo8fp48",44
"Informal Abstraction","By Conor, @ronoc101 // Part of the Skeleton Crew's 31 Days of Airdrops Collection.",75,"https://www.arweave.net/wW8NBuo4KQJkQx2Rz8xqz5p6GQhR1uhcq5SlvXkWTc8?ext=jpeg","Conor",0.27,"EE89NAfijZhXB8EWAC3L5hwA2JoDZ4vET3fEiEBRosLh",548
